img_path,seq
data\RE_data\img_org\train\twitter_stream_2018_05_07_2_3_3.jpg,a man and a woman looking at a piece of paper
data\RE_data\img_org\train\twitter_stream_2018_05_07_2_3_33.jpg,the sun is setting over the water at the beach
data\RE_data\img_org\train\twitter_stream_2018_05_07_2_3_38.jpg,a man in a tuxedo looking at his cell phone
data\RE_data\img_org\train\twitter_stream_2018_05_07_2_3_43.jpg,a tweet with a picture of president obama on it
data\RE_data\img_org\train\twitter_stream_2018_05_07_2_3_47.jpg,a group of women walking down a runway
data\RE_data\img_org\train\twitter_stream_2018_05_07_2_3_54.jpg,a group of young men sitting next to each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_2_3_62.jpg,a crowd of people standing next to each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_2_3_64.jpg,a screen shot of a web page with three people on it
data\RE_data\img_org\train\twitter_stream_2018_05_07_2_3_70.jpg,three men sitting on a couch in a living room
data\RE_data\img_org\train\twitter_stream_2018_05_07_2_3_72.jpg,a screen shot of a web page with the words thank you for being our biggest fans
data\RE_data\img_org\train\twitter_stream_2018_05_07_2_3_74.jpg,two men shaking hands in front of a whiteboard
data\RE_data\img_org\train\twitter_stream_2018_05_07_2_3_77.jpg,a group of people standing on top of a rainbow colored object
data\RE_data\img_org\train\twitter_stream_2018_05_07_2_3_83.jpg,a woman laying down with her head on her back
data\RE_data\img_org\train\twitter_stream_2018_05_07_2_3_87.jpg,a man and a woman looking at a computer screen
data\RE_data\img_org\train\twitter_stream_2018_05_07_2_3_9.jpg,a group of men sitting next to each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_2_3_90.jpg,a man wearing a red hat and glasses
data\RE_data\img_org\train\twitter_stream_2018_05_07_2_3_96.jpg,a page in a newspaper with a picture of a man and a child
data\RE_data\img_org\train\twitter_stream_2018_05_07_2_3_97.jpg,a computer screen with a twitter logo on it
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_1.jpg,a man in a white shirt is smiling
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_108.jpg,a group of young girls sitting around a picnic table
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_112.jpg,a couple of men standing next to each other in front of a crowd
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_117.jpg,a woman with a hat and a basket of flowers
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_121.jpg,a dirt road that has a bunch of rubble on it
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_122.jpg,a fighter jet flying through a blue sky
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_125.jpg,a woman blow drying a man's hair with a blow dryer
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_130.jpg,the logo for the blockchain expo
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_131.jpg,a man with a beard and glasses standing in front of a crowd
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_132.jpg,a silver car parked in a lot next to other cars
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_134.jpg,a group of men on a field playing baseball
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_142.jpg,a group of people sitting around a table
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_145.jpg,a soccer player with a red bull on his shirt
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_146.jpg,two young women are singing into microphones at a concert
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_153.jpg,a group of men walking through an airport
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_155.jpg,a red tesla parked in a parking lot
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_157.jpg,a man in a suit and tie standing in front of a lighthouse
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_171.jpg,a man in a soccer uniform is raising his arms in the air
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_172.jpg,a woman in a hat smoking a cigarette
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_175.jpg,a map of the world with red dots
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_176.jpg,a group of people riding on the backs of horses
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_183.jpg,a woman in a short black skirt and jacket
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_187.jpg,the breaking news logo on a blue background
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_189.jpg,a male in a black suit and a microphone
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_198.jpg,a group of men standing around a plate of food
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_2.jpg,a screenshot of a cell phone with korean text
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_206.jpg,a close up of a person holding a guitar
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_213.jpg,a group of people taking pictures of a basketball player
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_217.jpg,a man standing next to a woman in front of a wall
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_219.jpg,a black motorcycle parked on top of a lush green field
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_220.jpg,a green and orange sports car in a parking garage
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_221.jpg,a man standing in front of a vending machine holding a sign
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_223.jpg,a group of people sitting next to each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_229.jpg,a person holding a piece of paper with writing on it
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_24.jpg,a man holding a laptop computer in his hands
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_33.jpg,a black and white photo of a man wearing headphones
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_44.jpg,a white paper with a poem written in it
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_47.jpg,a man in a suit and tie giving a speech
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_57.jpg,a man sitting at a table with flowers in front of him
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_74.jpg,a group of young men standing around a laptop computer
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_79.jpg,a bunch of newspapers that are laying on the ground
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_81.jpg,a man and a woman standing next to a camel
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_91.jpg,a painting of a woman laying on a bed
data\RE_data\img_org\train\twitter_stream_2018_05_07_3_0_2_94.jpg,a couple of men standing next to each other on a field
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_10.jpg,a woman with long hair smiling and wearing a white shirt
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_102.jpg,a person standing on a stage in front of a crowd
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_103.jpg,a young man standing in front of a mirror
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_105.jpg,a man wearing a yellow hat in a forest
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_109.jpg,a woman in a red dress and a man in a black suit
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_115.jpg,a young man wearing headphones in a room
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_129.jpg,a statue of a person with a helmet on
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_135.jpg,a man standing at a podium in front of a microphone
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_139.jpg,a window with rain drops on it and a plane in the background
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_140.jpg,a taxi cab parked on the side of the road
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_15.jpg,a bunch of surfboards with american flags on them
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_156.jpg,a young boy holding a soccer ball on a soccer field
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_158.jpg,a drawing of wolverine in different poses
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_16.jpg,a group of people standing next to each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_169.jpg,a man holding a saxophone in his right hand
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_171.jpg,a group of people standing around a car and a bike
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_181.jpg,a painting of a man and a woman hugging
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_184.jpg,a man with a beard and a red and white hat
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_198.jpg,a drawing of the front of a building
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_199.jpg,a woman holding a tennis racquet on top of a tennis court
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_22.jpg,a person walking down a street at night
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_23.jpg,a woman with blonde hair wearing a black top
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_30.jpg,a map of a city with a bunch of red circles
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_31.jpg,a page in a book with arabic writing
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_40.jpg,a pair of nike air force sneakers on a rocky beach
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_47.jpg,a group of people standing next to each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_65.jpg,two men standing next to each other near a table
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_70.jpg,a man in a suit speaking at a podium
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_73.jpg,a bright light shines above the clouds at night
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_74.jpg,two men in suits and ties are facing each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_90.jpg,a black and white photo of a city in the clouds
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_92.jpg,a group of men standing on top of a football field
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_97.jpg,two men in suits and ties holding stuffed animals
data\RE_data\img_org\train\twitter_stream_2018_05_07_4_0_2_99.jpg,a group of men standing around each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_117.jpg,a woman holding a microphone in front of a poster
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_12.jpg,a man standing in front of a microphone on a basketball court
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_123.jpg,a woman standing at a podium giving a speech
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_130.jpg,a red china cabinet with plates on top of it
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_133.jpg,a man that is standing up with a microphone
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_140.jpg,two men sitting next to each other on a tv screen
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_145.jpg,a group of people standing on top of a stage
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_149.jpg,a group of people walking down a street
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_151.jpg,a man and a woman in a boxing ring
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_152.jpg,a group of soccer players standing next to each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_156.jpg,a soccer game is being played in a stadium
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_159.jpg,a group of people standing on top of a stage
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_165.jpg,a sign that reads highbury countdown days hours minutes seconds
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_182.jpg,a black and white photo of a group of men
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_183.jpg,a group of men standing in front of a semi truck
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_187.jpg,a man in a tie is standing in front of a wall
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_189.jpg,a close up of a person wearing a helmet
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_196.jpg,a close up of a person with a creepy look on his face
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_202.jpg,a woman standing on top of a stage in front of a crowd
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_206.jpg,ani news flash logo with a black background
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_209.jpg,a group of men walking down a street
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_219.jpg,a couple of people sitting at a table
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_222.jpg,a man holding a tennis racquet on top of a tennis court
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_223.jpg,a view of a city with tall buildings in the background
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_38.jpg,a woman in a fishnet bodysuit on stage
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_42.jpg,a group of young men sitting next to each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_64.jpg,a group of people standing on top of a stage
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_65.jpg,a group of young men standing next to each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_70.jpg,a couple of cats playing with each other on the floor
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_76.jpg,a man standing in front of a sign
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_77.jpg,a group of men playing a game of ice hockey
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_78.jpg,a group of people wrapped in blankets in front of a statue
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_85.jpg,a woman sitting on the floor with her eyes closed
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_88.jpg,an old black and white photo of a narrow street
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_89.jpg,a man and a woman standing next to each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_92.jpg,a man in a white shirt is surrounded by people
data\RE_data\img_org\train\twitter_stream_2018_05_07_5_0_2_94.jpg,a group of people sitting next to each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_107.jpg,a black and white photo of a man with a beard
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_113.jpg,a man holding a doll in front of a movie poster
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_114.jpg,a person riding a bike down a dirt road
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_12.jpg,a man holding a soccer ball on top of a field
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_123.jpg,two tweets that are on a tweet
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_126.jpg,a group of people standing on top of a field
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_141.jpg,a woman sitting in a car talking to someone
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_142.jpg,a group of baby birds sitting next to each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_143.jpg,two men sitting in front of a laptop computer
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_157.jpg,a crowd of people sitting in front of a stage
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_158.jpg,a city street at night with lights on
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_166.jpg,a view of a city with clouds in the sky
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_174.jpg,a white plaque with an orange wreath on it
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_176.jpg,a man standing in front of a tv screen
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_182.jpg,a black and white photo of boats in a harbor
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_183.jpg,a man in a suit and tie standing at a podium
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_196.jpg,a man standing in front of a google sign
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_199.jpg,a group of men standing next to each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_204.jpg,a group of women standing next to each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_215.jpg,a large archway with a clock on the wall
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_219.jpg,a lady in a blue dress standing next to a motorcycle
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_229.jpg,a fire burning on the side of a road
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_230.jpg,a group of people sitting in chairs in front of a red curtain
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_240.jpg,a man holding a trophy in front of a lake
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_29.jpg,a man holding a trophy next to a photo of a man holding a trophy
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_35.jpg,a man holding a microphone in front of a poster
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_36.jpg,a black background with the letter c on it
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_40.jpg,a woman holding a large brown dog on her back
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_42.jpg,a large group of people watching a speaker
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_59.jpg,a table with numbers and numbers for different countries
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_67.jpg,two young men standing next to each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_76.jpg,a couple of men standing next to each other on a ice
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_78.jpg,a wrestling match with two wrestlers in the ring
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_81.jpg,a man with grey hair wearing a blue sweater and a yellow tie
data\RE_data\img_org\train\twitter_stream_2018_05_07_6_0_2_9.jpg,a woman sitting at a desk in front of a computer
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_0.jpg,a woman standing in front of a blue wall
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_117.jpg,the air jordan xi is in black and grey
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_126.jpg,a man with his eyes closed and his eyes closed
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_129.jpg,a group of men standing next to each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_132.jpg,a man standing on a stage holding a flag
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_14.jpg,a group of men standing on top of a stage
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_145.jpg,a couple of boxes that are sitting on a floor
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_15.jpg,a woman riding a yellow scooter down a street
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_153.jpg,a woman floating in the water with a castle on her head
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_154.jpg,a group of people standing around a tent
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_156.jpg,a close up of a person sitting at a table
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_17.jpg,a couple of people that are standing in front of a building
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_170.jpg,a woman in jeans and a white shirt is walking through an airport
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_178.jpg,a person is holding a red book in their hand
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_192.jpg,the amazon logo is displayed on a wall
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_2.jpg,a man holding a rock with the words cast away written on it
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_200.jpg,a group of men standing next to each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_213.jpg,a man standing next to a woman in a pink dress
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_214.jpg,a beautiful woman in a red and gold outfit
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_215.jpg,a comic strip with a spiderman and a demon
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_221.jpg,a group of people walking down a street next to tall buildings
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_27.jpg,a close up of a moth on a black surface
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_29.jpg,a man standing in front of a microphone
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_30.jpg,a person standing in front of a television in a store
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_31.jpg,a piece of paper with a poem on it
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_37.jpg,a man holding a football in one hand and a football in the other
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_5.jpg,a man wearing a suit and holding a microphone
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_63.jpg,a small lake surrounded by lots of trees
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_77.jpg,a pair of salt and pepper shakers sitting on a tray
data\RE_data\img_org\train\twitter_stream_2018_05_07_7_0_2_91.jpg,a man sitting in a chair playing a guitar
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_0.jpg,a man standing in front of a brick building
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_114.jpg,"a quote that reads, what do you think of rhiana saying that she and drake are no longer friends?"
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_118.jpg,a suspension bridge over a mountain with a sunset in the background
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_129.jpg,a couple of people standing next to a table
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_132.jpg,the world's most valuable brands by country
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_143.jpg,a couple of men running across a field
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_155.jpg,a group of people walking down a street
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_159.jpg,a man standing in front of a flag holding a microphone
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_168.jpg,a cobblestone street lined with tables and chairs
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_169.jpg,a large construction vehicle on top of a pile of dirt
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_170.jpg,a man and a woman holding a pink heart shaped sign
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_178.jpg,a girl with a lot of words on her face
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_179.jpg,a person holding up a purple and white ticket
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_188.jpg,a man and a woman sitting on a couch with a guitar
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_19.jpg,two men standing on a field talking to each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_195.jpg,a group of people standing next to each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_202.jpg,a group of men riding on the back of two oxen
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_207.jpg,a woman with long black hair and a red tie
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_25.jpg,a computer screen with mario kart on it
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_28.jpg,a woman in a suit standing in front of a white house
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_32.jpg,a woman with blonde hair wearing a yellow sweater
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_44.jpg,a soccer player with a weird look on his face
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_46.jpg,a man standing in front of a crowd holding a microphone
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_56.jpg,a man and a woman standing in front of a bookshelf
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_64.jpg,a close up of a person wearing a suit and necklace
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_83.jpg,a man with a beard and glasses pointing at something
data\RE_data\img_org\train\twitter_stream_2018_05_07_8_0_2_95.jpg,a boat traveling down a river next to a lush green forest
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_115.jpg,a man standing on a stage holding a microphone
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_118.jpg,a page from a book with a picture of a man
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_119.jpg,a man wearing glasses and a blue suit
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_121.jpg,a man and a woman posing for a picture
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_126.jpg,a man standing at a podium in front of a crowd
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_128.jpg,a man in a white shirt holding his hand up to his face
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_132.jpg,a man with a bloody arm holding a pair of skis
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_137.jpg,a group of soccer players are shown in a poster
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_140.jpg,a person holding a squirrel in their hand
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_147.jpg,a close up of a person wearing a suit and tie
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_151.jpg,a weather map with a purple line indicating the location of a storm
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_153.jpg,the inside of a tent with dirt on the ground
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_157.jpg,a movie poster for panteraa
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_162.jpg,a woman standing in front of two flags
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_168.jpg,a man holding a soccer ball in his hands
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_185.jpg,two men sitting on a couch in a living room
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_191.jpg,a large building with many flags in front of it
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_196.jpg,a couple of men standing next to each other
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_207.jpg,a tweet with a picture of a white house in the background
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_210.jpg,a castle on a hill with a full moon in the background
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_213.jpg,a building on the side of a mountain road
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_218.jpg,a news anchor with a picture of him
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_224.jpg,a man in a suit walking down a red carpeted hallway
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_3.jpg,a woman standing on a rocky beach next to the ocean
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_32.jpg,two men wrestling in a ring with a referee watching
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_33.jpg,a man standing next to a pair of black sandals
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_40.jpg,a rocket launching into the air with a body of water in the background
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_45.jpg,a couple of men sitting on top of a black couch
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_49.jpg,a painting of a woman riding a horse
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_65.jpg,a group of people standing in front of a large screen
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_69.jpg,a puppy is laying in the grass with his paws on the ground
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_76.jpg,a group of people walking down a street holding an american flag
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_78.jpg,a large crowd of people in a building
data\RE_data\img_org\train\twitter_stream_2018_05_07_9_0_2_79.jpg,a group of people walking down a hallway
